ElecID	X	Y	Z
1	-88621.948	335969.255	301.414532
2	-88621.93	335968.215	301.279637
3	-88622.063	335967.352	301.161668
4	-88622.185	335966.249	300.996385
5	-88622.183	335965.281	300.852058
6	-88622.252	335964.282	300.735621
7	-88622.324	335963.335	300.637366
8	-88622.469	335962.288	300.537076
9	-88622.527	335961.284	300.460738
10	-88622.668	335960.239	300.351325
11	-88622.668	335959.311	300.247771
12	-88622.769	335958.32	300.136385
13	-88622.821	335957.341	300.019963
14	-88622.913	335956.287	299.894156
15	-88622.981	335955.348	299.793714
16	-88623.024	335954.345	299.695911
17	-88623.146	335953.423	299.607881
18	-88623.26	335952.313	299.511801
19	-88623.207	335951.421	299.431649
20	-88623.241	335950.336	299.343382
21	-88623.431	335949.37	299.282338
22	-88623.524202	335948.384397	299.202068
23	-88623.565	335947.441	299.137484
24	-88623.718	335946.335	299.049963
25	-88623.723	335945.382	298.952706
26	-88623.855	335944.358	298.864547
27	-88623.885	335943.385	298.766843
28	-88623.892	335942.392	298.660052
29	-88623.955	335941.41	298.581439
30	-88624.002	335940.444	298.512111
31	-88624.097	335939.485	298.43501
32	-88624.145	335938.418	298.344333
33	-88624.225	335937.421	298.265596
34	-88624.325	335936.422	298.193775
35	-88624.376577	335935.433344	298.128065
36	-88624.428154	335934.444689	298.043847
37	-88624.479732	335933.456033	297.968845
38	-88624.531309	335932.467378	297.903738
39	-88624.582886	335931.478722	297.828749
40	-88624.634463	335930.490067	297.764853
41	-88624.686041	335929.501411	297.705622
42	-88624.737618	335928.512756	297.646059
43	-88624.789195	335927.5241	297.606285
44	-88624.907	335926.428	297.570443
45	-88624.961	335925.467	297.543249
46	-88625.013	335924.459	297.503811
47	-88625.06	335923.478	297.44483
48	-88625.152	335922.456	297.42695
49	-88625.226	335921.47	297.416994
50	-88625.33	335920.348	297.40654
51	-88625.468	335919.544	297.404939
52	-88625.525	335918.613	297.384242
53	-88625.695	335917.456	297.372788
54	-88625.623	335916.477	297.344728
55	-88625.68	335915.45	297.33556
56	-88625.763	335914.434	297.333478
57	-88625.8	335913.486	297.324603
58	-88625.887	335912.449	297.29754
59	-88625.932	335911.471	297.28
60	-88625.983	335910.485	297.29
61	-88626.026	335909.389	297.35
62	-88626.065	335908.463	297.4
63	-88626.136	335907.468	297.45
64	-88626.186	335906.394	297.5
65	-88626.3	335905.484	297.52
66	-88626.33	335904.446	297.57
67	-88626.467	335903.396	297.686239
68	-88626.493	335902.48	297.773946
69	-88626.546	335901.449	297.852935
70	-88626.605	335900.511	297.918462
71	-88626.704	335899.433	297.955372
72	-88626.783	335898.453	298.012989
